Start Sample,End Sample,Payload length,Bit Rate,Modulation,Code Rate,MAC1,MAC2,MAC3
1316698,1345790,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1345818,1374913,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1374938,1404012,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1404058,1433141,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1433178,1462257,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1462298,1491328,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1491418,1520520,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1520538,1549626,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1549658,1578694,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1578778,1607877,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1607898,1636314,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1637018,1666043,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1666138,1695063,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1695258,1724049,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1724377,1753428,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1753497,1782589,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1782617,1811715,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1811737,1840832,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1840857,1869955,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1869977,1899078,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1899097,1928193,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1928217,1957319,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1957337,1986428,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
1986457,2015311,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2015577,2044625,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2044697,2073769,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2073817,2102841,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2102937,2132037,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2132057,2160652,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2161177,2190240,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2190296,2219379,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2219416,2248492,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2248536,2277634,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2277656,2306756,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2306776,2335859,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2335896,2364933,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2365016,2394111,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2394136,2423089,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2423256,2452357,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2452376,2481272,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2481496,2510554,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2510616,2539714,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2539736,2568781,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2568856,2597927,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2597976,2626974,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2627096,2656058,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2656215,2685316,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2685335,2714407,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2714455,2743489,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2743575,2772663,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2772695,2801786,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2801815,2830857,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2830935,2860035,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2860055,2889030,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2889175,2918165,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2918295,2947366,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2947415,2976498,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
2976535,3005601,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3005655,3034719,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3034775,3063872,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3063895,3092925,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3093015,3122090,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3122134,3151165,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3151254,3180347,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3180374,3209427,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3209494,3238598,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3238614,3267689,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3267734,3296834,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3296854,3325956,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3325974,3355016,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3355094,3384164,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3384214,3413314,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3413334,3442432,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3442454,3471546,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3471574,3500548,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3500694,3529795,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3529814,3558860,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3558934,3588019,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3588053,3617130,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3617173,3646260,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3646293,3675391,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3675413,3704497,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3704533,3733605,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3733653,3762756,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3762773,3791766,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3791893,3820976,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3821013,3850116,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3850133,3879188,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
3879253,3908337,2000.0 Bytes,12 Mbps,QPSK Modulation,0.5,BEAC09BEAC09,BEAC08BEAC08,BEAC07BEAC07
